episode,score
1,0.4959999889135361
2,0.8289999814704061
3,0.8434999811463058
4,1.1224999749101698
5,1.2919999711215495
6,1.944499956537038
7,2.2244999502785503
8,2.5879999421536923
9,2.338499947730452
10,2.8189999369904397
11,3.5894999197684228
12,3.1529999295249582
13,4.416499901283532
14,5.36799988001585
15,7.875499823968857
16,7.792999825812876
17,9.007499798666686
18,10.413499767240136
19,14.800499669183045
20,14.988499664980917
21,22.512499496806413
22,23.25949948010966
23,27.486999385617672
24,26.24399941340089
25,28.047999373078348
26,30.400499320495875
27,33.10249926010147
28,36.06749919382855
29,37.69799915738404
30,38.158499147091064
31,37.856499153841284
32,38.430999141000214
33,38.917999130114914
34,38.00899915043264
35,38.38549914201722
36,38.05049914950505
37,37.83099915441126
38,37.97299915123731
39,37.162499169353396
40,37.150999169610444
41,37.76799915581942
42,37.604499159473924
43,38.31199914366007
44,36.78499917779118
45,32.93049926394597
46,32.99999926239252
47,35.6644992028363
48,36.888999175466594
49,37.508999161608514
50,37.003499172907325
51,37.48899916205555
52,36.81549917710945
53,36.10899919290095
54,35.164999214001
55,36.84799917638302
56,36.51299918387085
57,35.258499211911115
58,37.01049917275086
59,35.61849920386449
60,35.36899920944124
61,36.958499173913154
62,38.048499149549755
63,37.38499916438013
64,35.80149919977411
65,33.69399924688041
66,32.45649927454069
67,36.29699918869883
68,34.953499218728396
69,36.05249919416383
70,37.703999157249925
71,36.97949917344376
72,36.43999918550253
73,36.30299918856472
74,37.810999154858294
75,33.87999924272299
76,36.25549918962643
77,35.57549920482561
78,36.73199917897582
79,36.9594991738908
80,33.00749926222488
81,35.75949920071289
82,35.50499920640141
83,36.74499917868525
84,36.26699918936938
85,35.843499198835346
86,35.02799921706319
87,37.38499916438013
88,36.90649917507544
89,37.42799916341901
90,36.923499174695465
91,33.83949924362823
92,37.137999169901015
93,36.01149919508025
94,36.99699917305261
95,35.476999207027255
96,34.83049922147766
97,35.14549921443686
98,35.0799992159009
99,37.2184991681017
100,38.18499914649874
101,37.45649916278198
102,37.13849916988984
