episode,score
1,0.7669999828562141
2,1.087999975681305
3,1.1599999740719795
4,1.2709999715909361
5,1.676499962527305
6,2.6629999404773117
7,4.730499894265085
8,7.1329998405650255
9,10.770499759260565
10,14.724999670870602
11,19.002999575249852
12,26.984499396849422
13,29.465999341383576
14,32.08699928279966
15,32.574499271903186
16,34.875999220460656
17,35.82249919930473
18,37.57049916023389
19,38.12299914788455
20,37.89799915291369
21,37.44349916307256
22,37.22099916804582
23,38.38949914192781
24,38.362499142531306
25,38.027999150007965
26,37.95899915155023
27,38.11949914796278
28,38.04649914959445
29,37.67899915780872
30,37.31549916593358
31,37.677999157831074
32,37.154999169521034
33,37.35699916500598
34,36.7999991774559
35,37.40449916394427
36,36.82499917689711
37,37.419499163609
38,37.47049916246906
39,36.675499180238695
40,37.09249917091802
41,36.53099918346852
42,36.87499917577952
43,37.3014991662465
44,36.79949917746708
45,37.51199916154146
46,37.86749915359542
47,37.90499915275723
48,37.72749915672466
49,37.45549916280434
50,38.10449914829805
51,37.92399915233254
52,38.26349914474413
53,37.76799915581942
54,38.03599914982915
55,37.61149915931746
56,38.198499146196994
57,37.78549915542826
58,38.048499149549755
59,38.3104991436936
60,37.835499154310675
61,37.895999152958396
62,38.38499914202839
63,38.16199914701283
64,38.341999142989515
65,38.25649914490059
66,37.80899915490299
67,38.22849914552644
68,38.02999914996326
69,37.48349916217849
70,38.084999148733914
71,37.90049915285781
72,38.11299914810807
73,37.995499150734396
74,37.98749915091321
75,37.61499915923923
76,38.145499147381635
77,38.22249914566055
78,37.85299915391952
79,38.00899915043264
80,38.14999914728105
81,37.862999153696
82,37.86549915364012
83,38.23349914541468
84,37.9044991527684
85,37.6909991575405
86,37.3054991661571
87,37.71599915698171
88,37.65299915838987
89,38.30599914379418
90,38.10849914820865
91,37.9044991527684
92,36.94349917424843
93,38.27499914448708
94,38.27399914450943
95,37.88449915321544
96,37.49099916201085
97,38.08549914872274
98,37.99849915066734
99,38.495499139558525
100,38.02349915010855
