episode,score
1,0.56549998736009
2,0.6884999846108257
3,0.8679999805986881
4,1.2649999717250466
5,2.0714999536983667
6,1.6449999632313848
7,1.9654999560676516
8,3.346499925199896
9,4.3734999022446575
10,5.31349988123402
11,8.442999811284244
12,11.860499734897166
13,12.956999710388482
14,13.86249969014898
15,18.730999581329524
16,16.674999627284706
17,22.610499494615944
18,23.591999472677706
19,25.743499424587934
20,26.333999411389232
21,29.275499345641585
22,31.048499306011944
23,33.5714992496185
24,35.85099919866771
25,37.69199915751815
26,36.51299918387085
27,36.791999177634715
28,37.123999170213935
29,36.92549917465076
30,36.74349917871878
31,38.00149915060028
32,38.708499134797606
33,39.0129991279915
34,38.070499149058016
35,38.432499140966684
36,38.62249913671985
37,37.4754991623573
38,37.23449916774407
39,37.51599916145206
40,36.767499178182334
41,36.623999181389806
42,35.5399992056191
43,36.015499194990845
44,37.01449917266145
45,36.3274991880171
46,37.58149915998801
47,36.188499191123995
48,35.55649920525029
49,36.891499175410715
50,35.4799992069602
51,34.85999922081828
52,34.38049923153594
53,36.93549917442724
54,37.63049915889278
55,35.56249920511618
56,36.19949919087812
57,35.993499195482585
58,36.50949918394908
59,36.58699918221682
60,36.42049918593839
61,34.81349922185764
62,35.22949921255931
63,38.50349913937971
64,37.8774991533719
65,37.53749916097149
66,38.43149914098903
67,37.6659991580993
68,37.30049916626886
69,36.29099918883294
70,36.674499180261044
71,35.41449920842424
72,34.40699923094362
73,37.350999165140095
74,37.369499164726584
75,38.19049914637581
76,38.122499147895724
77,37.68099915776402
78,36.998499173019084
79,37.84749915404245
80,36.70949917947873
81,37.526999161206184
82,36.57149918256327
83,36.08849919335917
84,35.77899920027703
85,37.49849916184321
86,36.76949917813763
87,37.29249916644767
88,37.02099917251617
89,36.905499175097795
90,37.472499162424356
91,36.63499918114394
92,36.78099917788059
93,35.335999210178855
94,36.9719991736114
95,35.76149920066818
96,37.90899915266782
97,38.03599914982915
98,38.39249914186075
99,36.91749917482957
100,37.66799915805459
