episode,score
1,0.8619999807327986
2,0.6849999846890569
3,0.9939999777823687
4,1.3779999691993
5,2.2569999495521187
6,2.6609999405220153
7,3.59399991966784
8,3.3324999255128205
9,4.754499893728644
10,5.7299998719245195
11,5.42849987866357
12,11.170999750308692
13,17.029999619349837
14,19.30199956856668
15,22.156499504763634
16,27.119499393831937
17,28.642499359790236
18,36.172999191470446
19,38.11599914804101
20,38.787499133031815
21,39.21849912339822
22,37.59449915969744
23,37.96349915144965
24,35.498999206535515
25,36.2569991895929
26,37.33499916549772
27,38.490499139670284
28,37.19249916868284
29,36.230999190174046
30,37.10749917058274
31,37.75399915613234
32,35.85849919850007
33,36.5884991821833
34,36.01599919497967
35,37.28849916653708
36,37.65349915837869
37,37.3054991661571
38,36.01749919494614
39,33.474999251775444
40,32.769499267544596
41,33.278499256167564
42,35.11899921502918
43,36.16649919161573
44,34.87949922038242
45,37.09399917088449
46,38.5404991385527
47,38.048499149549755
48,35.877499198075384
49,37.774999155662954
50,37.07699917126447
51,37.26749916700646
52,37.70999915711582
53,37.39549916414544
54,36.592999182082714
55,36.00299919527024
56,35.707999201864006
57,35.627999203652145
58,35.264999211765826
59,36.3999991863966
60,35.899499197583644
61,37.14849916966632
62,35.6664992027916
63,37.93699915204197
64,37.79999915510416
65,37.43549916325137
66,38.09699914846569
67,36.933999174460766
68,34.617999226227404
69,36.54699918311089
70,37.5044991617091
