episode,score
1,0.6524999854154885
2,0.6799999848008156
3,0.4624999896623194
4,0.6259999860078096
5,0.30949999308213594
6,0.33599999248981477
7,0.28599999360740186
8,1.0849999757483602
9,0.7704999827779829
10,0.32899999264627694
11,0.3314999925903976
12,0.13599999696016313
13,0.47499998938292265
14,0.7949999822303653
15,1.1204999749548734
16,1.0619999762624501
17,1.4114999684505165
18,1.7709999604150652
19,1.4154999683611096
20,1.8464999587275088
21,1.277999971434474
22,1.4504999675787986
23,2.4924999442882836
24,2.16149995168671
25,2.133999952301383
26,1.8834999579004943
27,1.8069999596104025
28,2.120999952591956
29,2.3339999478310345
30,2.3479999475181104
31,3.0254999323748053
32,2.8049999373033643
33,2.9679999336600305
34,3.296499926317483
35,2.9339999344199894
36,2.9914999331347643
37,4.262499904725701
38,3.5634999203495683
39,3.3279999256134034
40,4.333499903138727
41,3.2734999268315734
42,3.113499930407852
43,2.6509999407455327
44,4.464499900210649
45,3.838999914191663
46,3.5054999216459692
47,3.6069999193772673
48,3.5339999210089443
49,4.38349990202114
50,4.425499901082366
51,5.188499884027988
52,5.424999878741801
53,5.435999878495932
54,5.232499883044511
55,5.521999876573682
56,5.761999871209264
57,6.301499859150499
58,6.114999863319099
59,6.757499848958105
60,7.631999829411507
61,7.40349983451888
62,7.31149983657524
63,7.399499834608287
64,7.509499832149595
65,7.760999826528132
66,8.156499817688019
67,7.59849983016029
68,8.239999815821648
69,10.101499774213881
70,7.9799998216331005
71,6.030499865207821
72,7.24249983811751
73,7.518999831937253
74,8.985499799158424
75,8.193499816861003
76,9.15099979545921
77,7.489999832585454
78,12.010999731533229
79,7.594999830238521
80,10.155499773006886
81,10.381999767944217
82,10.665999761596321
83,11.195999749749898
84,10.125999773666262
85,10.595999763160943
86,9.013499798532575
87,9.514499787334353
88,10.562999763898551
89,12.196999727375806
90,12.481499721016736
91,12.686999716423452
92,12.066499730292708
93,14.257999681308865
94,12.871499712299556
95,12.69049971634522
96,12.663999716937543
97,14.210999682359397
98,14.58549967398867
99,12.980999709852039
100,11.61749974032864
101,11.748999737389386
102,14.441999677196145
103,13.172999705560505
104,12.895499711763113
105,15.960499643255025
106,13.65799969471991
107,13.293999702855945
108,13.759999692440033
109,13.630499695334583
110,14.821999668702484
111,15.614499650988728
112,13.659999694675207
113,14.188999682851136
114,15.146999661438167
115,15.236499659437687
116,15.191999660432339
117,15.499999653548002
118,14.829499668534845
119,16.066999640874563
120,15.161499661114068
121,15.510999653302132
122,15.182999660633504
123,15.073999663069845
124,17.740499603468926
125,17.174999616108835
126,16.27849963614717
127,15.053499663528054
128,12.412499722559005
129,15.301499657984824
130,12.121499729063363
131,14.575499674212187
132,14.455499676894396
133,14.699999671429396
134,15.11349966218695
135,14.135999684035777
136,13.48949969848618
137,11.209999749436975
138,13.268999703414739
139,11.180999750085174
140,17.49899960886687
141,15.646499650273473
142,13.398499700520187
143,17.642499605659395
144,17.563999607414008
145,24.003499463479965
146,23.225499480869622
147,25.613999427482486
148,26.272499412763864
149,22.682999492995442
150,24.04999946244061
151,25.359499433171003
152,24.753999446704984
153,23.78349946839735
154,29.468499341327696
155,32.46349927438423
156,31.611999293416737
157,23.000999485887586
158,23.76899946872145
159,26.57349940603599
160,27.87899937685579
161,31.85799928791821
162,30.91599930897355
163,28.584499361086635
164,32.04949928363785
165,29.47849934110418
166,33.94549924125895
167,32.67099926974625
168,34.93749921908602
169,34.78249922255054
170,35.12399921491742
171,36.294499188754706
172,33.56699924971908
173,31.833999288454653
174,33.40449925335124
175,34.54349922789261
176,33.74299924578518
177,32.99999926239252
178,36.48599918447435
179,38.73399913422763
180,38.11899914797395
181,37.37099916469306
182,35.343999210000035
183,35.728499201405796
184,37.26899916697293
185,36.41149918613955
186,36.198999190889296
187,34.91699921954423
188,35.19949921322986
189,33.18049925835803
190,35.97449919590726
191,37.238499167654666
192,35.01349921738729
193,35.08599921576679
194,36.71849917927757
195,37.74299915637821
196,37.29349916642532
197,36.497499184217304
198,36.71849917927757
199,35.495999206602576
200,36.3274991880171
201,35.96999919600785
202,36.871999175846575
203,36.872999175824226
204,37.615999159216884
205,37.82049915464595
206,38.57799913771451
207,38.140499147493394
208,32.902499264571816
209,33.72299924623221
210,36.867999175935985
211,36.96149917384609
212,37.848499154020104
213,37.62849915893749
214,34.78899922240525
215,33.92849924163893
216,34.08399923816323
217,36.284499188978224
218,32.666499269846824
219,37.504999161697924
220,34.99699921775609
221,31.79499928932637
222,31.8079992890358
223,36.233999190106985
224,37.56099916044623
225,36.50599918402732
226,37.55099916066975
